STATION_NAME                                           DATE           PRCP      TMAX      TMIN      
GUNTERSVILLE NUMBER 2 AL US                            20180322       0.00      125.6     96.8      
GUNTERSVILLE NUMBER 2 AL US                            20180323       0.00      132.8     102.2     
GUNTERSVILLE NUMBER 2 AL US                            20180324       0.00      140       111.2     
GUNTERSVILLE NUMBER 2 AL US                            20180325       0.26      161.6     127.4     
GUNTERSVILLE NUMBER 2 AL US                            20180327       0.00      129.2     114.8     
GUNTERSVILLE NUMBER 2 AL US                            20180328       0.00      147.2     120.2     
GUNTERSVILLE NUMBER 2 AL US                            20180329       0.00      167       127.4     
GUNTERSVILLE NUMBER 2 AL US                            20180330       0.85      163.4     125.6     
GUNTERSVILLE NUMBER 2 AL US                            20180331       0.00      138.2     105.8     
ADDISON AL US                                          20180301       1.13      154.4     127.4     
ADDISON AL US                                          20180302       0.29      140       104       
ADDISON AL US                                          20180303       0.00      132.8     98.6      
ADDISON AL US                                          20180304       0.00      141.8     84.2      
ADDISON AL US                                          20180306       0.54      156.2     86        
ADDISON AL US                                          20180310       0.00      143.6     109.4     
ADDISON AL US                                          20180311       2.57      132.8     109.4     
ADDISON AL US                                          20180312       0.07      136.4     89.6      
ADDISON AL US                                          20180313       0.00      125.6     78.8      
ADDISON AL US                                          20180314       0.00      132.8     78.8      
ADDISON AL US                                          20180315       0.00      125.6     71.6      
ADDISON AL US                                          20180316       0.00      154.4     73.4      
ADDISON AL US                                          20180317       0.03      149       104       
ADDISON AL US                                          20180318       0.00      168.8     122       
ADDISON AL US                                          20180319       0.00      150.8     122       
ADDISON AL US                                          20180320       1.22      163.4     116.6     
ADDISON AL US                                          20180321       0.04      123.8     87.8      
ADDISON AL US                                          20180322       0.00      125.6     80.6      
ADDISON AL US                                          20180323       0.00      145.4     80.6      
ADDISON AL US                                          20180324       0.00      152.6     104       
ADDISON AL US                                          20180325       0.00      158       125.6     
ADDISON AL US                                          20180326       0.00      165.2     120.2     
ADDISON AL US                                          20180327       0.00      129.2     113       
ADDISON AL US                                          20180328       0.00      161.6     113       
ADDISON AL US                                          20180329       0.06      161.6     140       
ADDISON AL US                                          20180330       0.88      147.2     122       
ADDISON AL US                                          20180331       0.00      140       91.4      
GUNTERSVILLE AL US                                     20180301       0.65      152.6     127.4     
GUNTERSVILLE AL US                                     20180302       0.87      150.8     109.4     
GUNTERSVILLE AL US                                     20180303       0.00      136.4     102.2     
GUNTERSVILLE AL US                                     20180304       0.00      141.8     105.8     
GUNTERSVILLE AL US                                     20180305       0.00      150.8     116.6     
GUNTERSVILLE AL US                                     20180306       0.24      134.6     122       
GUNTERSVILLE AL US                                     20180307       0.03      147.2     98.6      
GUNTERSVILLE AL US                                     20180308       0.00      113       89.6      
GUNTERSVILLE AL US                                     20180309       0.00      116.6     84.2      
GUNTERSVILLE AL US                                     20180310       0.00      141.8     80.6      
GUNTERSVILLE AL US                                     20180311       1.69      143.6     120.2     
GUNTERSVILLE AL US                                     20180312       0.08      138.2     96.8      
GUNTERSVILLE AL US                                     20180313       0.00      138.2     95        
GUNTERSVILLE AL US                                     20180314       0.00      129.2     93.2      
GUNTERSVILLE AL US                                     20180315       0.00      122       89.6      
GUNTERSVILLE AL US                                     20180316       0.00      150.8     87.8      
GUNTERSVILLE AL US                                     20180317       0.00      150.8     107.6     
GUNTERSVILLE AL US                                     20180319       0.14      149       127.4     
GUNTERSVILLE AL US                                     20180320       1.38      154.4     127.4     
GUNTERSVILLE AL US                                     20180321       0.03      129.2     96.8      
GUNTERSVILLE AL US                                     20180322       0.00      125.6     95        
GUNTERSVILLE AL US                                     20180323       0.00      134.6     96.8      
GUNTERSVILLE AL US                                     20180324       0.00      138.2     105.8     
GUNTERSVILLE AL US                                     20180325       0.23      161.6     131       
GUNTERSVILLE AL US                                     20180326       0.00      152.6     120.2     
GUNTERSVILLE AL US                                     20180327       0.00      127.4     114.8     
GUNTERSVILLE AL US                                     20180328       0.00      145.4     118.4     
GUNTERSVILLE AL US                                     20180329       0.00      167       118.4     
GUNTERSVILLE AL US                                     20180330       0.80      161.6     125.6     
GUNTERSVILLE AL US                                     20180331       0.00      140       105.8     
MUSCLE SHOALS WATER PLANT AL US                        20180301       1.45      154.4     127.4     
MUSCLE SHOALS WATER PLANT AL US                        20180302       0.43      143.6     102.2     
MUSCLE SHOALS WATER PLANT AL US                        20180303       0.01      136.4     95        
MUSCLE SHOALS WATER PLANT AL US                        20180304       0.00      143.6     93.2      
MUSCLE SHOALS WATER PLANT AL US                        20180305       0.07      154.4     93.2      
MUSCLE SHOALS WATER PLANT AL US                        20180306       0.15      141.8     120.2     
MUSCLE SHOALS WATER PLANT AL US                        20180307       0.00      149       95        
MUSCLE SHOALS WATER PLANT AL US                        20180308       0.00      114.8     84.2      
MUSCLE SHOALS WATER PLANT AL US                        20180309       0.00      118.4     80.6      
MUSCLE SHOALS WATER PLANT AL US                        20180310       0.00      145.4     82.4      
MUSCLE SHOALS WATER PLANT AL US                        20180312       0.08      138.2     95        
MUSCLE SHOALS WATER PLANT AL US                        20180313       0.00      129.2     87.8      
MUSCLE SHOALS WATER PLANT AL US                        20180314       0.00      131       84.2      
MUSCLE SHOALS WATER PLANT AL US                        20180315       0.00      125.6     84.2      
MUSCLE SHOALS WATER PLANT AL US                        20180316       0.00      156.2     84.2      
MUSCLE SHOALS WATER PLANT AL US                        20180317       0.00      154.4     107.6     
MUSCLE SHOALS WATER PLANT AL US                        20180318       0.00      174.2     116.6     
MUSCLE SHOALS WATER PLANT AL US                        20180319       0.02      141.8     116.6     
MUSCLE SHOALS WATER PLANT AL US                        20180320       0.26      154.4     114.8     
MUSCLE SHOALS WATER PLANT AL US                        20180322       0.00      127.4     86        
MUSCLE SHOALS WATER PLANT AL US                        20180323       0.01      140       87.8      
MUSCLE SHOALS WATER PLANT AL US                        20180324       0.00      140       109.4     
MUSCLE SHOALS WATER PLANT AL US                        20180325       0.49      152.6     129.2     
MUSCLE SHOALS WATER PLANT AL US                        20180326       0.01      145.4     118.4     
MUSCLE SHOALS WATER PLANT AL US                        20180327       0.00      132.8     120.2     
MUSCLE SHOALS WATER PLANT AL US                        20180328       0.00      161.6     118.4     
MUSCLE SHOALS WATER PLANT AL US                        20180329       1.24      167       136.4     
MUSCLE SHOALS WATER PLANT AL US                        20180330       0.43      143.6     122       
MUSCLE SHOALS WATER PLANT AL US                        20180331       0.02      143.6     96.8      
VALLEY HEAD AL US                                      20180301       0.56      147.2     120.2     
VALLEY HEAD AL US                                      20180302       0.00      143.6     86        
VALLEY HEAD AL US                                      20180303       0.00      140       82.4      
VALLEY HEAD AL US                                      20180304       0.00      154.4     93.2      
VALLEY HEAD AL US                                      20180305       0.00      131       109.4     
VALLEY HEAD AL US                                      20180306       0.22      147.2     116.6     
VALLEY HEAD AL US                                      20180307       0.00      118.4     98.6      
VALLEY HEAD AL US                                      20180308       0.00      113       80.6      
VALLEY HEAD AL US                                      20180309       0.00      134.6     69.8      
VALLEY HEAD AL US                                      20180310       0.62      134.6     87.8      
VALLEY HEAD AL US                                      20180311       0.71      136.4     114.8     
VALLEY HEAD AL US                                      20180312       0.00      120.2     95        
VALLEY HEAD AL US                                      20180313       0.00      125.6     80.6      
VALLEY HEAD AL US                                      20180314       0.00      118.4     78.8      
VALLEY HEAD AL US                                      20180315       0.00      147.2     75.2      
VALLEY HEAD AL US                                      20180316       0.00      154.4     91.4      
VALLEY HEAD AL US                                      20180317       0.11      165.2     118.4     
VALLEY HEAD AL US                                      20180318       0.04      150.8     107.6     
VALLEY HEAD AL US                                      20180319       0.09      141.8     123.8     
VALLEY HEAD AL US                                      20180320       0.01      136.4     96.8      
VALLEY HEAD AL US                                      20180321       0.01      120.2     86        
VALLEY HEAD AL US                                      20180322       0.00      132.8     77        
VALLEY HEAD AL US                                      20180323       0.00      145.4     87.8      
VALLEY HEAD AL US                                      20180324       0.12      150.8     118.4     
VALLEY HEAD AL US                                      20180325       0.00      140       116.6     
VALLEY HEAD AL US                                      20180326       0.00      116.6     109.4     
VALLEY HEAD AL US                                      20180327       0.00      140       107.6     
VALLEY HEAD AL US                                      20180328       0.00      167       123.8     
VALLEY HEAD AL US                                      20180329       0.86      165.2     132.8     
VALLEY HEAD AL US                                      20180330       0.00      136.4     96.8      
VALLEY HEAD AL US                                      20180331       0.00      149       87.8      
MOULTON 2 AL US                                        20180301       0.88      152.6     131       
MOULTON 2 AL US                                        20180302       0.19      141.8     102.2     
MOULTON 2 AL US                                        20180303       0.00      132.8     86        
MOULTON 2 AL US                                        20180304       0.00      140       87.8      
MOULTON 2 AL US                                        20180305       0.13      154.4     100.4     
MOULTON 2 AL US                                        20180306       0.00      140       118.4     
